DATE,COMNAM,CUSIP,TICKER,PERMNO,SHROUT,event_date,PRC,RET,BID,ASK,cd_count
20070730,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.89,-0.006098,4.89,4.9,-28
20070731,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,5.1,0.042945,5.1,5.12,-27
20070801,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,5.1,0,5.1,5.11,-26
20070802,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,5.14,0.007843,5.14,5.14,-25
20070803,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.91,-0.044747,4.9,4.91,-24
20070806,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.96,0.010183,4.95,4.96,-21
20070807,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,5,0.008065,4.98,4.99,-20
20070808,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,5,0,4.98,4.99,-19
20070809,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.74,-0.052,4.74,4.75,-18
20070810,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.68,-0.012658,4.68,4.69,-17
20070813,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.73,0.010684,4.74,4.75,-14
20070814,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.7,-0.006343,4.68,4.69,-13
20070815,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.65,-0.010638,4.66,4.67,-12
20070816,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.72,0.015054,4.73,4.74,-11
20070817,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.77,0.010593,4.76,4.77,-10
20070820,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.81,0.008386,4.81,4.82,-7
20070821,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3602000,27AUG2007,4.84,0.006237,4.83,4.84,-6
20070822,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3537517,27AUG2007,4.86,0.004132,4.84,4.85,-5
20070823,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3537517,27AUG2007,4.93,0.014403,4.92,4.93,-4
20070824,SUN MICROSYSTEMS INC,86681020,SUNW,10078,3537517,27AUG2007,5.01,0.016227,5,5.01,-3
20070827,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.14,0.025948,5.14,5.15,0
20070828,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.06,-0.015564,5.06,5.07,1
20070829,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.17,0.021739,5.15,5.16,2
20070830,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.25,0.015474,5.24,5.25,3
20070831,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.36,0.020952,5.34,5.35,4
20070904,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.5,0.026119,5.49,5.5,8
20070905,SUN MICROSYSTEMS INC,86681020,JAVA,10078,3537517,27AUG2007,5.37,-0.023636,5.37,5.38,9
