Date of Observation. NAMEDT of NAMES events; ex-distribution date (EXDT) of DISTRIBUTION event; \                   delisting da,Company Name,CUSIP Identifier,Exchange Ticker Symbol,PERMNO,New PERMNO,Shares Outstanding,event_date,Price or Bid/Ask Average,Volume,Returns,Bid,Ask,Days Relative to Event Date
20070730,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.89,122579569,-0.006098,4.89,4.9,-28
20070731,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,5.1,231079979,0.042945,5.1,5.12,-27
20070801,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,5.1,105071327,0,5.1,5.11,-26
20070802,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,5.14,99702672,0.007843,5.14,5.14,-25
20070803,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.91,98573906,-0.044747,4.9,4.91,-24
20070806,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.96,89586871,0.010183,4.95,4.96,-21
20070807,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,5,88024889,0.008065,4.98,4.99,-20
20070808,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,5,69961413,0,4.98,4.99,-19
20070809,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.74,132902726,-0.052,4.74,4.75,-18
20070810,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.68,177375887,-0.012658,4.68,4.69,-17
20070813,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.73,93773245,0.010684,4.74,4.75,-14
20070814,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.7,86069113,-0.006343,4.68,4.69,-13
20070815,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.65,75745754,-0.010638,4.66,4.67,-12
20070816,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.72,154885756,0.015054,4.73,4.74,-11
20070817,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.77,90212666,0.010593,4.76,4.77,-10
20070820,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.81,62556753,0.008386,4.81,4.82,-7
20070821,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3602000,27AUG2007,4.84,48915062,0.006237,4.83,4.84,-6
20070822,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3537517,27AUG2007,4.86,72280414,0.004132,4.84,4.85,-5
20070823,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3537517,27AUG2007,4.93,92741606,0.014403,4.92,4.93,-4
20070824,SUN MICROSYSTEMS INC,86681020,SUNW,10078,,3537517,27AUG2007,5.01,201608312,0.016227,5,5.01,-3
20070827,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.14,61834973,0.025948,5.14,5.15,0
20070828,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.06,91731173,-0.015564,5.06,5.07,1
20070829,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.17,70519848,0.021739,5.15,5.16,2
20070830,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.25,106353767,0.015474,5.24,5.25,3
20070831,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.36,75435200,0.020952,5.34,5.35,4
20070904,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.5,102799960,0.026119,5.49,5.5,8
20070905,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.37,82320659,-0.023636,5.37,5.38,9
20070906,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.48,99629818,0.020484,5.47,5.48,10
20070907,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3537517,27AUG2007,5.37,76773736,-0.020073,5.38,5.39,11
20070910,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.39,74942594,0.003724,5.39,5.4,14
20070911,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.71,109592109,0.059369,5.7,5.71,15
20070912,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.66,161391573,-0.008757,5.66,5.67,16
20070913,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.8,75941767,0.024735,5.79,5.8,17
20070914,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.73,74946952,-0.012069,5.72,5.73,18
20070917,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.69,66072953,-0.006981,5.69,5.7,21
20070918,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.78,72649408,0.015817,5.76,5.77,22
20070919,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.81,70409799,0.00519,5.8,5.81,23
20070920,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.71,88217152,-0.017212,5.72,5.73,24
20070921,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.67,74405512,-0.007005,5.65,5.66,25
20070924,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.66,55106217,-0.001764,5.66,5.67,28
20070925,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.6701,64179240,0.001785,5.67,5.68,29
20070926,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3414726,27AUG2007,5.62,76167416,-0.008836,5.61,5.62,30
20071015,SUN MICROSYSTEMS INC,86681020,JAVA,10078,,3602000,12NOV2007,6.11,44517769,-0.019262,6.11,6.12,-28
