"month","year","compname","beta"
1,2006,"COMPUTER ASSOCIATES INTL INC",1.38110252594841
1,2006,"MORGAN STANLEY DEAN WITTER & CO",0.20538375953928
1,2006,"C B S CORP NEW",2.44705837503006
1,2006,"CERTEGY INC",21.8178780933255
1,2006,"COMCAST CORP NEW",-0.289594203529279
1,2006,"VIACOM INC NEW",3.24656864251906
1,2006,"CHIPOTLE MEXICAN GRILL INC",-0.0894260380568693
2,2006,"MORGAN STANLEY DEAN WITTER & CO",0.403885988353578
2,2006,"C B S CORP NEW",0.491324948090743
2,2006,"FIDELITY NATIONAL INFO SVCS INC",0.08905973084951
2,2006,"COMCAST CORP NEW",0.331706117253153
2,2006,"VIACOM INC NEW",0.519878566704159
2,2006,"CHIPOTLE MEXICAN GRILL INC",0.0679078416916696
2,2006,"C A INC",0.543824715504519
2,2006,"INTERNATIONAL GAME TECHNOLOGY",0.271417404638038
2,2006,"CONVERGYS CORP",0.0965794984362443
2,2006,"JOHNSON & JOHNSON",0.595878397979988
3,2006,"JOHNSON & JOHNSON",0.351348181158187
3,2006,"C A INC",-0.149398211791529
3,2006,"INTERNATIONAL GAME TECHNOLOGY",0.131629064811685
3,2006,"CONVERGYS CORP",0.0764104044235631
3,2006,"FIDELITY NATIONAL INFO SVCS INC",0.400608651974577
3,2006,"COMCAST CORP NEW",0
3,2006,"DUKE ENERGY CORP",0.268918138505293
3,2006,"3M CO",0.374282665282152
3,2006,"HOST MARRIOTT CORP NEW",-0.0107303149770489
3,2006,"PULTE HOMES INC",0.272154956562946
4,2006,"JOHNSON & JOHNSON",0.177634336689807
4,2006,"3M CO",0.105042033712674
4,2006,"DUKE ENERGY CORP NEW",0.319732681796007
4,2006,"INTERNATIONAL GAME TECHNOLOGY",0.447209276896057
4,2006,"HOST MARRIOTT CORP NEW",0.201270584817396
4,2006,"PULTE HOMES INC",0.110607620485889
4,2006,"CONVERGYS CORP",0.353455259951088
4,2006,"AMERADA HESS CORP",0.0395321969631968
4,2006,"COOPER CAMERON CORP",0.0742314011971796
4,2006,"STARWOOD HOTELS & REST WLDWD INC",0.108851241208686
4,2006,"HOST HOTELS & RESORTS INC",0.274477591001685
4,2006,"OFFICEMAX INC NEW",0.0301588976625286
4,2006,"GRAINGER W W INC",0.094159326808162
4,2006,"FISHER SCIENTIFIC INTL INC",0.195698677007044
4,2006,"EXPEDIA INC DE",0.0733999905091185
5,2006,"3M CO",0.00342566999464139
5,2006,"DUKE ENERGY CORP NEW",0.838515267295166
5,2006,"AMERADA HESS CORP",0.0165752041795624
5,2006,"OFFICEMAX INC NEW",0.230765196747751
5,2006,"SUPERVALU INC",0.214278354225079
5,2006,"HOST HOTELS & RESORTS INC",0.571957028743848
5,2006,"GRAINGER W W INC",0.3619275993106
5,2006,"PULTE HOMES INC",0.143719343307356
5,2006,"FISHER SCIENTIFIC INTL INC",0.17425176698821
5,2006,"COOPER CAMERON CORP",0.166774182737639
5,2006,"EXPEDIA INC DE",0.0586739488299658
5,2006,"STARWOOD HOTELS & REST WLDWD INC",0.110817468841243
5,2006,"CAMERON INTERNATIONAL CORP",0.164678982140462
5,2006,"HESS CORP",0.286285946443662
5,2006,"MASTERCARD INC",0.282012909128584
6,2006,"T ROWE PRICE GROUP INC",-3.61290392856293
6,2006,"DELL INC",30.110976623938
6,2006,"FASTENAL COMPANY",4.61618558866724
6,2006,"ALTRIA GROUP INC",-34.0035274600966
6,2006,"SOUTHERN CO",58.0176501286605
6,2006,"EXELON CORP",-16.7641682753359
6,2006,"X C E L ENERGY INC",9.9982438857464
6,2006,"MASSEY ENERGY CO",5.75470530204468
6,2006,"VARIAN MEDICAL SYSTEMS INC",4.31816018565411
6,2006,"QUESTAR CORP",11.6898335666981
6,2006,"HESS CORP",0.374645298181369
6,2006,"FIRST HORIZON NATIONAL CORP",15.6610103731889
6,2006,"OFFICEMAX INC NEW",10.8484730627627
6,2006,"SUPERVALU INC",31.502220132661
6,2006,"FOREST LABS INC",31.6502975731365
6,2006,"GENUINE PARTS CO",13.7203465575185
6,2006,"CIRCUIT CITY STORES INC",4.14387766906456
6,2006,"MOODYS CORP",4.36081399688453
6,2006,"DILLARDS INC",6.26622603681129
6,2006,"GRAINGER W W INC",14.524598975512
6,2006,"PACCAR INC",-21.5427625525845
6,2006,"PAYCHEX INC",-3.76407041897667
6,2006,"SIGMA ALDRICH CORP",-13.3796943784137
6,2006,"STRYKER CORP",4.72205632186025
6,2006,"TELLABS INC",-6.22939548254474
6,2006,"CISCO SYSTEMS INC",5.54274474644441
6,2006,"HARRAHS ENTERTAINMENT INC",-13.7750391284327
6,2006,"TOTAL SYSTEM SERVICES INC",35.0102931393311
6,2006,"DEVRY INC DEL",21.5351885411933
6,2006,"FISHER SCIENTIFIC INTL INC",-93.1854673333053
6,2006,"EL PASO CORP",2.54122702502191
6,2006,"PATTERSON COMPANIES INC",-21.8693037559952
6,2006,"IAC INTERACTIVECORP",-4.21731959838376
6,2006,"INTUIT INC",-2.6612260400313
6,2006,"URBAN OUTFITTERS INC",6.65638283892048
6,2006,"QLOGIC CORP",-7.93002543077113
6,2006,"TRACTOR SUPPLY CO NEW",-4.08805308125478
6,2006,"CAMERON INTERNATIONAL CORP",0.229565024233432
