gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,curcd,at,bkvlps,ceq,dltt,dt,ni,pi,txt,costat
1045,20061231,2006,INDL,C,D,STD,02376R102,USD,29145,-2.727,-606,12041,13390,231,231,0,A
1045,20071231,2007,INDL,C,D,STD,02376R102,USD,28571,10.6537,2657,10093,11142,504,504,0,A
1045,20081231,2008,INDL,C,D,STD,02376R102,USD,25175,-10.5216,-2935,9001,10957,-2071,-2071,0,A
1045,20091231,2009,INDL,C,D,STD,02376R102,USD,25438,-10.4893,-3489,10583,11697,-1468,-1752,-284,A
1045,20101231,2010,INDL,C,D,STD,02376R102,USD,25088,-11.8309,-3945,9253,11136,-471,-506,-35,A
1045,20111231,2011,INDL,C,D,STD,02376R102,USD,23848,-21.2099,-7111,6702,8220,-1979,-1979,0,A
1045,20121231,2012,INDL,C,D,STD,02376R102,USD,23510,-23.821,-7987,7116,8535,-1876,-2445,-569,A
1045,20131231,2013,INDL,C,D,STD,02376R102,USD,42278,-10.4608,-2731,15353,16799,-1834,-2180,-346,A
1045,20141231,2014,INDL,C,D,STD,02376R102,USD,43771,2.8976,2021,16196,17904,2882,3212,330,A
1045,20151231,2015,INDL,C,D,STD,02376R102,USD,48415,9.0215,5635,18330,20561,7610,4616,-2994,A
1075,20061231,2006,INDL,C,D,STD,723484101,USD,11455.943,34.4753,3446.116,3232.633,,327.255,473.561,156.418,A
1075,20071231,2007,INDL,C,D,STD,723484101,USD,11243.712,35.1453,3531.611,3127.125,,307.143,449.7,150.92,A
1075,20081231,2008,INDL,C,D,STD,723484101,USD,11620.093,34.1565,3445.979,3031.603,,242.125,278.964,65.407,A
1075,20091231,2009,INDL,C,D,STD,723484101,USD,11808.155,32.692,3316.109,3370.524,,68.33,105.058,37.827,A
1075,20101231,2010,INDL,C,D,STD,723484101,USD,12362.703,33.8634,3683.327,3045.794,,350.053,514.919,164.321,A
1075,20111231,2011,INDL,C,D,STD,723484101,USD,13111.018,34.9839,3821.85,3019.054,,339.473,539.238,183.604,A
1075,20121231,2012,INDL,C,D,STD,723484101,USD,13379.615,36.201,3972.806,3199.088,,381.542,656.31,237.317,A
1075,20131231,2013,INDL,C,D,STD,723484101,USD,13508.686,38.0686,4194.47,2796.465,,406.074,670.557,230.591,A
1075,20141231,2014,INDL,C,D,STD,723484101,USD,14313.532,39.4994,4367.493,3031.215,,397.595,644.401,220.705,A
1075,20151231,2015,INDL,C,D,STD,723484101,USD,15028.258,41.304,4583.917,3462.391,,437.257,693.91,237.72,A
1177,20061231,2006,FS,C,D,STD,00817Y108,USD,47626.4,,9145.1,2442.3,,,2586.6,901,A
1177,20061231,2006,INDL,C,D,STD,00817Y108,USD,47626.4,17.7231,9145.1,2442.3,2442.3,1701.7,2586.6,901,A
1177,20071231,2007,FS,C,D,STD,00817Y108,USD,50724.7,,10038.4,3138.5,,,2796.4,965.4,A
1177,20071231,2007,INDL,C,D,STD,00817Y108,USD,50724.7,20.2265,10038.4,3138.5,3138.5,1831,2796.4,965.4,A
1177,20081231,2008,FS,C,D,STD,00817Y108,USD,35852.5,,8186.4,3638.3,,,2174.2,790.1,A
1177,20081231,2008,INDL,C,D,STD,00817Y108,USD,35852.5,17.9408,8186.4,3638.3,3638.3,1384.1,2174.2,790.1,A
1177,20091231,2009,FS,C,D,STD,00817Y108,USD,38550.4,,9503.8,3639.5,,,1901.2,624.7,A
1177,20091231,2009,INDL,C,D,STD,00817Y108,USD,38550.4,22.0608,9503.8,3639.5,3639.5,1276.5,1901.2,624.7,A
1177,20101231,2010,FS,C,D,STD,00817Y108,USD,37739.4,,9890.8,3482.6,,,2644.2,877.4,A
1177,20101231,2010,INDL,C,D,STD,00817Y108,USD,37739.4,25.7305,9890.8,3482.6,4382.5,1766.8,2644.2,877.4,A
1177,20111231,2011,FS,C,D,STD,00817Y108,USD,38593.1,,10120.2,3977.7,,,3077.8,1092.1,A
1177,20111231,2011,INDL,C,D,STD,00817Y108,USD,38593.1,28.9397,10120.2,3977.7,3977.7,1985.7,3077.8,1092.1,A
1177,20121231,2012,FS,C,D,STD,00817Y108,USD,41494.5,,10405.8,6481.3,,,2545.4,887.5,A
1177,20121231,2012,INDL,C,D,STD,00817Y108,USD,41494.5,31.7637,10405.8,6481.3,6481.3,1657.9,2545.4,887.5,A
1177,20131231,2013,FS,C,D,STD,00817Y108,USD,49871.8,,14025.5,7865.3,,,2940.5,1028.6,A
1177,20131231,2013,INDL,C,D,STD,00817Y108,USD,49871.8,38.7231,14025.5,7865.3,8252.6,1913.6,2940.5,1028.6,A
1177,20141231,2014,FS,C,D,STD,00817Y108,USD,53402.1,,14482.6,7852,,,3499.9,1454.7,A
1177,20141231,2014,INDL,C,D,STD,00817Y108,USD,53402.1,41.4025,14482.6,7852,8081.3,2040.8,3499.9,1454.7,A
1177,20151231,2015,FS,C,D,STD,00817Y108,USD,53424.1,,16114.3,7828,,,4235.6,1841,A
1177,20151231,2015,INDL,C,D,STD,00817Y108,USD,53424.1,46.1067,16114.3,7828,7828,2390.2,4235.6,1841,A
1300,20061231,2006,INDL,C,D,STD,438516106,USD,30941,12.141,9720,3909,4332,2083,2798,720,A
1300,20071231,2007,INDL,C,D,STD,438516106,USD,33805,12.3528,9222,5419,5837,2444,3321,877,A
1300,20081231,2008,INDL,C,D,STD,438516106,USD,35490,9.7837,7187,5865,6888,2792,3801,1009,A
1300,20091231,2009,INDL,C,D,STD,438516106,USD,36004,11.5728,8844,6246,7264,2153,2978,789,A
1300,20101231,2010,INDL,C,D,STD,438516106,USD,37834,13.622,10666,5755,6278,2022,2843,808,A
1300,20111231,2011,INDL,C,D,STD,438516106,USD,39808,13.9486,10806,6881,6896,2067,2282,417,A
1300,20121231,2012,INDL,C,D,STD,438516106,USD,41853,16.5751,12975,6395,7020,2926,3875,944,A
1300,20131231,2013,INDL,C,D,STD,438516106,USD,45435,22.285,17467,6801,7433,3924,5412,1450,A
1300,20141231,2014,INDL,C,D,STD,438516106,USD,45451,22.5735,17657,6046,6985,4239,5818,1489,A
1300,20151231,2015,INDL,C,D,STD,438516106,USD,49316,23.7318,18283,5554,6131,4768,6586,1739,A
1327,20060930,2006,INDL,C,D,STD,83088M102,USD,1090.496,4.5101,729.093,179.335,179.335,-88.152,-72.774,15.378,A
1327,20070930,2007,INDL,C,D,STD,83088M102,USD,1189.908,4.8811,786.347,200,249.335,57.65,56.77,-0.88,A
1327,20080930,2008,INDL,C,D,STD,83088M102,USD,1236.099,5.7021,944.216,137.616,137.616,111.006,82.188,-28.818,A
1327,20090930,2009,INDL,C,D,STD,83088M102,USD,1355.326,6.3949,1105.129,47.116,79.733,93.289,65.746,-27.543,A
1327,20100930,2010,INDL,C,D,STD,83088M102,USD,1564.052,7.3038,1316.596,24.743,24.743,137.294,195.074,57.78,A
1327,20110930,2011,INDL,C,D,STD,83088M102,USD,1890.389,8.6331,1609.095,0,0,226.585,293.886,67.301,A
1327,20120930,2012,INDL,C,D,STD,83088M102,USD,2136.646,9.9091,1905.475,0,0,202.078,254.976,52.898,A
1327,20130930,2013,INDL,C,D,STD,83088M102,USD,2333.1,11.182,2101.1,0,0,278.1,344.5,66.4,A
1327,20140930,2014,INDL,C,D,STD,83088M102,USD,2973.8,13.3848,2532.4,0,0,457.7,565.2,107.5,A
1327,20150930,2015,INDL,C,D,STD,83088M102,USD,3719.4,16.6012,3159.2,0,0,798.3,1023.6,225.3,A
1356,20061231,2006,INDL,C,D,STD,03965L100,USD,37183,16.7977,14576,5910,6420,2248,3432,835,A
1356,20071231,2007,INDL,C,D,STD,03965L100,USD,38803,19.2905,15961,6371,6573,2564,4491,1555,A
1356,20081231,2008,INDL,C,D,STD,03965L100,USD,37822,14.5942,11680,8509,8565,-74,792,342,A
1356,20091231,2009,INDL,C,D,STD,03965L100,USD,38472,12.6901,12365,8974,9643,-1151,-1498,-574,A
1356,20101231,2010,INDL,C,D,STD,03965L100,USD,39293,13.2639,13556,8842,9073,254,548,148,A
1356,20111231,2011,INDL,C,D,STD,03965L100,USD,40120,12.9546,13789,8640,9085,611,1063,255,A
